Hora;Anemometro;Pluviometro;Veleta;temperatura;Humedad;Particulas;gas;presion;UV;dB
14:44;0.0;1.624036;O;28.3;72.5;0.5;405.9;983.7;0;27.6
14:46;0.0;1.624036;O;28.3;71.2;0.5;411.9;983.7;0;27.0
14:48;0.0;0;O;28.4;71.3;0.5;418.1;983.7;0;28.8
14:50;0.0;0;O;28.4;71.0;0.5;415.0;983.7;0;27.4
14:52;0.0;0;O;28.4;71.2;0.5;418.1;983.7;0;26.8
14:54;0.0;0;O;28.5;71.4;0.5;424.3;983.7;0;27.5
14:56;0.0;0;O;28.5;71.4;0.5;436.9;983.6;0;26.9
14:58;0.0;0;O;28.5;71.6;0.5;440.1;983.5;0;26.6
15:0;0.0;0;O;28.5;71.7;0.5;443.3;983.5;0;26.7
15:2;0.0;0;O;28.6;71.5;0.5;443.3;983.5;0;27.5
15:4;0.0;0;O;28.6;71.7;0.5;440.1;983.4;0;26.4
15:6;0.0;0;O;28.6;71.4;0.5;443.3;983.4;0;26.8
15:8;0.0;0;O;28.6;71.4;0.5;440.1;983.4;0;27.6
15:10;0.0;0;O;28.6;71.4;0.5;443.3;983.4;0;26.5
15:12;0.0;0;O;28.6;71.4;0.5;443.3;983.4;0;26.7
15:14;0.0;0;O;28.7;71.3;0.5;446.5;983.3;0;27.7
15:16;0.0;0;O;28.7;71.4;0.5;459.6;983.3;0;26.3
15:18;0.0;0;O;28.7;71.4;0.5;449.8;983.3;0;27.5
15:20;0.0;0;O;28.7;71.2;0.5;469.6;983.3;0;26.9
15:22;0.0;0;O;28.7;71.3;0.5;469.6;983.2;0;28.0
15:24;0.0;0;O;28.7;71.3;0.5;469.6;983.3;0;27.0
15:26;0.0;0;O;28.7;71.2;0.5;476.3;983.2;0;26.5
15:28;0.0;0;O;28.7;71.2;0.5;479.7;983.2;0;26.7
15:30;0.0;0;O;28.7;71.3;0.5;483.1;983.2;0;27.2
15:32;0.0;0;O;28.8;71.3;0.5;476.3;983.2;0;28.3
15:34;0.0;0;O;28.8;71.3;0.5;486.5;983.2;0;28.6
15:36;0.0;0;O;28.8;71.2;0.5;486.5;983.2;0;27.5
15:38;0.0;0;O;28.8;71.3;0.5;483.1;983.2;0;26.7
15:40;0.0;0;O;28.8;71.4;0.5;476.3;983.2;0;26.2
15:42;0.0;0;O;28.8;71.3;0.5;483.1;983.1;0;28.4
15:44;0.0;0;O;28.8;71.6;0.5;490.0;983.1;0;27.4
15:46;0.0;0;O;28.8;71.6;0.5;472.9;983.1;0;26.9
15:48;0.0;0;O;28.8;71.6;0.5;476.3;983.0;0;27.8
15:50;0.0;0;O;28.8;71.7;0.5;483.1;982.9;0;26.9
15:52;0.0;0;O;28.8;71.7;0.5;476.3;982.9;0;27.6
15:54;0.0;0;O;28.9;71.5;0.5;476.3;982.9;0;28.0
15:56;0.0;0;O;28.9;71.7;0.5;483.1;982.9;0;26.8
15:58;0.0;0;O;28.9;71.8;0.5;469.6;982.9;0;28.2
16:0;0.0;0;O;28.9;71.9;0.5;476.3;982.9;0;27.5
16:2;0.0;0;O;28.9;71.9;0.5;476.3;982.8;0;28.3
16:4;0.0;0;O;28.9;71.8;0.5;462.9;982.7;0;27.6
16:6;0.0;0;O;28.9;71.7;0.5;472.9;982.7;0;26.3
16:8;0.0;0;O;28.9;71.8;0.5;466.2;982.6;0;27.1
16:10;0.0;0;O;28.9;72.1;0.5;476.3;982.6;0;28.0
16:12;0.0;0;O;28.9;71.9;0.5;469.6;982.7;0;26.6
16:14;0.0;0;O;28.9;72.0;0.5;469.6;982.7;0;27.8
16:16;0.0;0;O;28.9;71.8;0.5;462.9;982.7;0;27.9
16:18;0.0;0;O;29.0;71.6;0.5;479.7;982.7;0;26.3
16:20;0.0;0;O;29.0;71.7;0.5;469.6;982.6;0;28.4
16:22;0.0;0;O;29.0;71.6;0.5;493.5;982.6;0;27.5
16:24;0.0;0;O;29.0;71.2;0.5;486.5;982.5;0;31.9
16:26;0.0;0;O;29.0;70.9;0.5;490.0;982.5;0;27.9
16:28;0.0;0;O;29.0;70.8;0.5;486.5;982.6;0;28.0
16:30;0.0;0;O;29.0;70.4;0.5;500.4;982.6;0;29.6
16:32;0.0;0;O;29.0;69.9;0.5;493.5;982.5;0;28.7
16:34;0.0;0;O;29.0;69.9;0.5;507.5;982.4;0;28.0
16:36;0.0;0;O;29.0;69.6;0.5;514.6;982.4;0;27.1
16:38;0.0;0;O;29.0;69.5;0.5;511.0;982.3;0;39.8
16:40;0.0;0.406009;O;29.0;68.8;0.5;486.5;982.3;0;39.6
16:42;0.0;0;O;28.7;65.8;0.5;456.3;982.2;0;36.0
16:44;0.0;0;O;28.4;63.7;0.5;462.9;982.3;0;40.1
18:0;1.4;0;NE;25.5;56.9;0.5;414.3;983.3;0;55.5
18:4;0.0;0;NE;25.3;56.8;0.5;400.8;983.1;0;54.7
18:6;0.0;0;N;25.3;56.3;0.5;365.0;983.2;0;58.6
18:9;0.0;0;N;25.3;56.1;0.5;393.0;983.2;0;61.5
18:11;0.0;0;NE;25.3;56.2;0.5;399.6;983.3;0;61.3
18:13;0.0;0;NE;25.3;56.2;0.5;386.4;983.3;0;57.6
18:15;0.0;0.406009;N;25.2;56.0;0.5;399.6;983.2;0;56.6
18:17;0.0;0.406009;N;25.2;56.0;0.5;399.6;983.2;0;59.3
18:19;0.0;0;NE;25.1;56.0;0.5;399.6;983.2;0;60.2
18:21;0.0;0;NE;25.1;56.0;0.5;402.9;983.2;0;57.9
18:23;0.0;0;NE;25.1;55.7;0.5;402.9;983.2;0;59.4
8:17;0.0;0;-;23.0;64.3;0.5;398.0;995.5;0;28.5
8:19;0.0;0;-;23.3;63.5;0.5;398.0;995.5;0;38.3
8:21;0.0;0;-;23.5;63.2;0.5;398.0;995.4;0;28.1
8:25;0.0;0;-;23.6;62.7;0.5;414.8;995.4;0;26.4
2:28;0.0;0;-;24.0;62.2;0.5;415.6;995.2;0;27.0
2:30;0.0;0;-;24.3;61.3;0.5;411.6;995.2;0;25.4
2:32;0.0;0;-;24.4;61.2;0.5;423.7;995.2;0;29.0
11:37;0.0;0;-;24.6;61.1;0.5;412.0;995.1;0;26.5
11:39;0.0;0;-;24.7;60.5;0.5;408.0;995.0;0;26.4
11:41;0.0;0;-;24.8;60.4;0.5;416.0;994.9;0;26.1
11:47;0.0;0;-;24.9;60.1;0.5;424.8;994.8;0;28.0
11:49;0.0;0.406009;-;25.1;59.9;0.5;424.8;994.8;0;25.5
11:51;0.0;0.406009;-;25.1;59.5;0.5;412.8;994.8;0;28.3
11:53;0.0;0;-;25.0;58.8;0.5;412.8;994.8;0;35.2
11:55;0.0;0;-;25.0;58.5;0.5;405.0;994.7;0;25.8
11:57;0.0;0;-;25.0;58.1;0.5;408.9;994.7;0;26.8
11:59;0.0;0;-;25.0;58.0;0.5;416.8;994.6;0;34.6
12:33;0.0;0;-;25.0;57.9;0.5;422.7;994.4;0;30.6
12:35;0.0;0;-;24.8;57.8;0.5;422.7;994.4;0;28.1
12:37;0.0;0;-;24.8;57.8;0.5;414.8;994.3;0;30.1
12:39;0.0;0;-;24.8;57.7;0.5;422.7;994.3;0;31.3
12:41;0.0;0;-;24.8;57.7;0.5;418.7;994.2;0;29.4
12:43;0.0;0;-;24.8;57.7;0.5;410.9;994.3;0;32.1
12:45;0.0;0;-;24.8;57.6;0.5;414.8;994.3;0;46.8
12:47;0.0;0;-;24.8;57.5;0.5;410.9;994.2;0;27.8
12:49;0.0;0;-;24.8;57.4;0.5;410.9;994.3;0;30.5
12:51;0.0;0;-;24.8;57.4;0.5;414.8;994.3;0;27.5
12:53;0.0;0;-;24.8;57.3;0.5;414.8;994.2;0;30.2
12:55;0.0;0;-;24.7;57.2;0.5;399.3;994.3;0;27.4
12:57;0.0;0;-;24.7;57.3;0.5;403.1;994.2;0;28.2
12:59;0.0;0;-;24.7;57.2;0.5;410.9;994.2;0;27.4
13:1;0.0;0;-;24.7;57.3;0.5;410.9;994.1;0;37.9
13:3;0.0;0;-;24.7;57.3;0.5;410.9;994.2;0;28.5
13:5;0.0;0;-;24.7;57.3;0.5;410.9;994.1;0;43.2
13:7;0.0;0;-;24.7;57.3;0.5;410.9;994.1;0;25.8
13:9;0.0;0;-;24.7;57.2;0.5;403.1;994.1;0;36.8
13:11;0.0;0;-;24.7;57.3;0.5;403.1;994.0;0;33.3
13:13;0.0;0;-;24.7;57.3;0.5;418.7;994.0;0;45.5
13:17;0.0;0;-;24.7;57.3;0.5;415.2;993.9;0;43.2
13:19;0.0;0;-;24.7;57.3;0.5;415.2;993.8;0;55.1
13:21;0.0;0;-;24.8;57.6;0.5;399.6;993.8;0;28.0
13:23;0.0;0;-;24.8;57.6;0.5;358.9;993.7;0;26.2
13:25;0.0;0;-;24.8;55.4;0.5;388.2;993.8;0;32.8
13:27;0.0;0;-;24.9;55.6;0.5;373.4;993.7;0;39.1
13:29;0.0;0;-;24.9;54.9;0.5;377.1;993.8;0;33.3
13:33;0.0;0;-;24.9;55.8;0.5;425.3;993.7;0;29.6
13:35;0.0;0;-;25.0;56.6;0.5;421.2;993.7;0;26.8
13:37;0.0;0;-;25.0;56.6;0.5;417.2;993.6;0;26.8
13:39;0.0;0.406009;-;25.1;56.0;0.5;417.2;993.6;0;26.0
13:41;0.0;0;-;25.1;55.9;0.5;413.2;993.6;0;29.0
13:43;0.0;0;-;25.1;55.8;0.5;409.3;993.6;0;38.5
13:53;0.0;0;-;25.1;55.3;0.5;403.4;993.5;0;25.3
13:55;0.0;0;-;25.0;55.4;0.5;395.6;993.5;0;31.1
14:1;0.0;0.406009;-;25.1;55.0;0.5;399.5;993.3;0;25.8
14:5;0.0;0;-;25.0;55.2;0.5;404.1;993.3;0;33.0
14:7;0.0;0;-;25.0;54.8;0.5;416.0;993.3;0;36.2
14:9;0.0;0;-;25.0;54.9;0.5;416.0;993.3;0;34.1
14:11;0.0;0;-;25.1;54.7;0.5;412.0;993.3;0;33.9
14:13;0.0;0;-;25.1;54.7;0.5;428.2;993.3;0;25.9
14:15;0.0;0;-;25.1;54.9;0.5;444.8;993.3;0;26.1
14:17;0.0;0;-;25.1;54.9;0.5;428.2;993.3;0;25.2
14:19;0.0;0;-;25.1;55.1;0.5;428.2;993.3;0;28.9
14:21;0.0;0;-;25.1;55.1;0.5;440.6;993.2;0;30.3
14:23;0.0;0;-;25.0;55.4;0.5;453.3;993.1;0;25.6
14:25;0.0;0;-;25.0;55.4;0.5;461.9;993.1;0;26.4
14:27;0.0;0;-;25.0;55.6;0.5;475.0;993.1;0;59.2
14:29;0.0;0;-;25.0;55.7;0.5;466.2;993.0;0;29.0
14:31;0.0;0;-;25.0;55.7;0.5;475.0;993.1;0;54.1
14:33;0.0;0;-;25.0;55.8;0.5;483.8;993.0;0;47.1
14:35;0.0;0;-;25.0;55.8;0.5;483.8;993.0;0;50.0
14:37;0.0;0;-;25.0;56.1;0.5;497.4;993.0;0;61.1
14:39;0.0;0;-;25.0;56.0;0.5;501.9;992.9;0;50.6
14:41;0.0;0;-;25.0;56.3;0.5;492.8;992.9;0;46.0
14:43;0.0;0;-;25.0;56.3;0.5;501.9;992.8;0;44.7
14:45;0.0;0;-;25.0;56.4;0.5;501.9;992.8;0;27.5
14:47;0.0;0;-;25.0;56.2;0.5;497.4;992.8;0;61.2
14:49;0.0;0;-;25.1;56.1;0.5;506.5;992.7;0;61.7
14:51;0.0;0;-;25.1;56.1;0.5;515.8;992.7;0;29.5
14:53;0.0;0;-;25.0;56.0;0.5;520.5;992.7;0;26.1
14:55;0.0;0;-;25.0;56.1;0.5;520.5;992.6;0;26.2
14:57;0.0;0;-;25.0;56.1;0.5;529.9;992.6;0;25.8
14:59;0.0;0;-;25.0;56.1;0.5;534.7;992.6;0;26.4
15:1;0.0;0;-;25.0;56.1;0.5;549.1;992.6;0;26.2
15:3;0.0;0;-;25.0;56.1;0.5;544.3;992.5;0;26.9
15:5;0.0;0;-;25.0;56.2;0.5;549.1;992.6;0;25.7
15:7;0.0;0;-;25.0;56.2;0.5;554.0;992.5;0;25.6
15:9;0.0;0;-;25.0;56.2;0.5;568.9;992.5;0;26.7
15:11;0.0;0;-;25.0;56.1;0.5;573.9;992.5;0;25.6
15:13;0.0;0;-;24.9;56.2;0.5;589.1;992.5;0;28.6
15:15;0.0;0;-;25.0;56.0;0.5;615.1;992.5;0;25.3
15:17;0.0;0;-;25.0;55.9;0.5;615.1;992.5;0;27.0
15:19;0.0;0;-;25.0;56.1;0.5;604.6;992.4;0;27.8
15:21;0.0;0;-;25.0;56.1;0.5;641.8;992.4;0;29.9
15:23;0.0;0;-;25.0;56.0;0.5;631.0;992.4;0;36.0
15:25;0.0;0;-;25.0;56.2;0.5;641.8;992.4;0;32.2
15:27;0.0;0;-;25.0;56.3;0.5;636.4;992.4;0;30.2
15:29;0.0;0;-;25.0;56.4;0.5;663.8;992.3;0;30.0
15:31;0.0;0;-;25.0;56.3;0.5;636.4;992.3;0;27.5
15:33;0.0;0;-;25.0;56.3;0.5;663.8;992.3;0;40.1
15:35;0.0;0;-;25.1;56.2;0.5;652.7;992.3;0;36.7
15:37;0.0;0;-;25.0;56.3;0.5;658.2;992.3;0;25.2
15:39;0.0;0;-;25.1;56.2;0.5;675.0;992.3;0;26.5
15:41;0.0;0;-;25.1;56.2;0.5;658.2;992.3;0;31.9
15:43;0.0;0;-;25.1;56.2;0.5;663.8;992.3;0;34.7
15:45;0.0;0;-;25.1;56.5;0.5;680.6;992.3;0;36.8
15:47;0.0;0;-;25.1;56.3;0.5;686.3;992.3;0;34.5
15:49;0.0;0;-;25.1;56.3;0.5;692.0;992.3;0;26.0
15:51;0.0;0;-;25.1;56.2;0.5;686.3;992.3;0;25.8
15:53;0.0;0.8120179;-;25.1;56.4;0.5;692.0;992.3;0;26.2
15:55;0.0;0;-;25.1;56.5;0.5;680.6;992.3;0;29.8
15:57;0.0;0;-;25.0;56.6;0.5;697.7;992.3;0;28.3
15:59;0.0;0;-;25.0;56.6;0.5;703.5;992.3;0;27.0
16:1;0.0;0;-;25.1;56.5;0.5;697.7;992.3;0;27.5
16:3;0.0;0;-;25.1;56.5;0.5;697.7;992.3;0;32.8
16:5;0.0;0;-;25.1;56.3;0.5;709.3;992.4;0;27.6
16:7;0.0;0;-;25.1;56.1;0.5;686.3;992.4;0;27.8
16:9;0.0;0;-;25.1;56.1;0.5;680.6;992.3;0;41.5
16:11;0.0;0;-;25.1;56.0;0.5;692.0;992.3;0;26.4
16:13;0.0;0;-;25.1;56.0;0.5;692.0;992.3;0;27.4
16:15;0.0;0;-;25.1;55.9;0.5;703.5;992.3;0;27.9
16:17;0.0;0;-;25.1;55.9;0.5;697.7;992.3;0;32.7
16:19;0.0;0;-;25.1;56.0;0.5;709.3;992.3;0;25.9
16:21;0.0;0;-;25.1;56.1;0.5;709.3;992.3;0;26.3
16:23;0.0;0;-;25.1;56.3;0.5;732.9;992.3;0;36.4
16:25;0.0;0;-;25.0;56.7;0.5;738.8;992.4;0;37.5
16:27;0.0;0;-;25.0;57.1;0.5;726.9;992.3;0;26.8
16:29;0.0;0;-;25.1;57.0;0.5;726.9;992.3;0;37.0
16:31;0.0;0;-;25.0;57.0;0.5;738.8;992.3;0;31.2
16:33;0.0;0;-;25.1;57.4;0.5;744.8;992.3;0;29.5
16:35;0.0;0;-;25.1;57.2;0.5;738.8;992.2;0;27.7
16:37;0.0;0;-;25.1;57.3;0.5;769.2;992.2;0;26.4
16:39;0.0;0;-;25.1;57.3;0.5;769.2;992.2;0;27.6
16:41;0.0;0;-;25.1;57.4;0.5;775.4;992.2;0;27.0
16:43;0.0;0;-;25.1;57.5;0.5;769.2;992.2;0;32.0
16:45;0.0;0;-;25.0;57.9;0.5;794.2;992.2;0;48.6
16:47;0.0;0;-;25.0;58.2;0.5;806.8;992.2;0;29.5
16:49;0.0;0;-;25.0;58.3;0.5;794.2;992.2;0;34.5
16:51;0.0;0;-;25.0;58.3;0.5;787.9;992.2;0;29.2
16:53;0.0;0;-;25.0;58.7;0.5;787.9;992.2;0;29.2
16:55;0.0;0;-;25.0;58.4;0.5;787.9;992.2;0;31.5
16:57;0.0;0;-;25.1;58.4;0.5;800.5;992.2;0;28.9
16:59;0.0;0;-;25.1;58.7;0.5;806.8;992.2;0;45.6
17:1;0.0;0;-;25.1;58.9;0.5;800.5;992.2;0;31.0
17:3;0.0;0;-;25.1;58.8;0.5;794.2;992.3;0;39.7
17:5;0.0;0;-;25.1;59.1;0.5;806.8;992.2;0;39.6
17:7;0.0;0;-;25.1;59.1;0.5;819.7;992.3;0;26.4
17:9;0.0;0;-;25.1;59.5;0.5;826.1;992.3;0;52.3
17:11;0.0;0;-;25.1;59.6;0.5;826.1;992.3;0;41.7
17:13;0.0;0;-;25.1;60.0;0.5;819.7;992.3;0;27.0
17:15;0.0;0;-;25.1;59.8;0.5;826.1;992.2;0;31.9
